"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.69215967238031,0.88,0.197,0,"0","ABCE1"
0,1.63506637093584,0.879,0.196,0,"0","PRELID1"
0,1.80152986254364,0.801,0.119,0,"0","SAE1"
0,1.59370816615235,0.831,0.149,0,"0","GTF3C6"
0,1.73481418144008,0.831,0.149,0,"0","MKI67IP"
0,1.350623727741,0.874,0.192,0,"0","RQCD1"
0,1.52162863136055,0.875,0.194,0,"0","WDR43"
0,1.58420352699863,0.825,0.144,0,"0","CIRH1A"
0,2.03644605895601,0.779,0.099,0,"0","IMPDH2"
0,1.95792906277822,0.784,0.105,0,"0","PFKP"
0,1.45493919434153,0.807,0.128,0,"0","SNHG16"
0,1.37481615197048,0.845,0.166,0,"0","AP2B1"
0,2.68104018659759,0.767,0.089,0,"0","CCNA2"
0,1.82808885223281,0.779,0.101,0,"0","SMS"
0,1.68737130219313,0.814,0.136,0,"0","CDK2"
0,1.21604081228755,0.872,0.194,0,"0","DDX39A"
0,1.60160221471216,0.837,0.159,0,"0","NUDT21"
0,1.65779939582934,0.83,0.152,0,"0","TIMM10"
0,1.44820928667503,0.856,0.179,0,"0","TCOF1"
0,1.78684144770043,0.912,0.235,0,"0","VDAC3"
0,1.52860968846142,0.925,0.248,0,"0","XRCC6"
0,1.94153183045424,0.798,0.122,0,"0","MRPL35"
0,2.4126875757996,0.911,0.235,0,"0","PRDX3"
0,1.65631291273799,0.805,0.131,0,"0","C17orf89"
0,1.82142252550877,0.811,0.137,0,"0","GMNN"
0,1.24699753341579,0.878,0.204,0,"0","KCNAB2"
0,1.66955343407311,0.838,0.164,0,"0","MTCH2"
0,1.58116736278117,0.875,0.201,0,"0","TFAM"
0,1.80394177290078,0.798,0.125,0,"0","PHF19"
0,0.900265738011914,0.889,0.216,0,"0","RHOG"
0,1.50804965405355,0.867,0.194,0,"0","SRP9"
0,2.39047915051754,0.753,0.081,0,"0","ACAT2"
0,1.98300342309146,0.788,0.116,0,"0","MLF1IP"
0,1.41899248959485,0.91,0.238,0,"0","XPO1"
0,1.87485970467553,0.969,0.297,0,"0","ARPC1B"
0,1.78541015417658,0.951,0.279,0,"0","CCT4"
0,2.05411618273428,0.959,0.287,0,"0","HNRNPAB"
0,1.59820167339824,0.838,0.166,0,"0","SMC2"
0,1.45336107951669,0.948,0.276,0,"0","SNRPB"
0,1.18385103660796,0.881,0.21,0,"0","APRT"
0,1.61961739032112,0.882,0.211,0,"0","LSM5"
0,2.36711817072635,0.773,0.103,0,"0","C12orf75"
0,1.36176057091559,0.88,0.21,0,"0","TOMM22"
0,1.262417767666,0.854,0.184,0,"0","HDAC1"
0,2.00928641884559,0.769,0.1,0,"0","AIMP2"
0,2.18028673459168,0.777,0.108,0,"0","BOLA3"
0,1.22364837312202,0.917,0.248,0,"0","CLTA"
0,1.05178870263608,0.863,0.194,0,"0","PPP2R1A"
0,1.48938901149706,0.937,0.268,0,"0","SNRPD3"
0,1.39518695208167,0.869,0.2,0,"0","VDAC2"
0,1.22850534797283,0.907,0.239,0,"0","ETF1"
0,1.40933894724972,0.911,0.243,0,"0","MTHFD2"
0,1.61822983945135,0.817,0.149,0,"0","PRR11"
0,1.23832331015611,0.837,0.169,0,"0","PWP1"
0,1.72668316464981,0.788,0.121,0,"0","MRPL1"
0,1.31494616746274,0.877,0.211,0,"0","BZW1"
0,1.38531075698611,0.878,0.212,0,"0","CYC1"
0,1.38818791211117,0.8,0.134,0,"0","NOP14"
0,3.37055301438795,0.703,0.037,0,"0","ACOT7"
0,1.92568984831751,0.775,0.11,0,"0","HELLS"
0,1.16253057417572,0.871,0.206,0,"0","MRPS15"
0,1.51331444910813,0.926,0.261,0,"0","PPM1G"
0,2.28528592168924,0.765,0.101,0,"0","UBE2T"
0,1.76720091888067,0.837,0.173,0,"0","CDK6"
0,1.68141208040727,0.978,0.314,0,"0","CORO1A"
0,1.44089748733119,0.862,0.198,0,"0","NOLC1"
0,1.01459363684665,0.861,0.198,0,"0","CELF2"
0,2.4694262357601,0.743,0.08,0,"0","CENPW"
0,1.22284806899114,0.887,0.224,0,"0","DIAPH1"
0,1.2693953334501,0.95,0.287,0,"0","HLA-DQA1"
0,1.53916653573705,0.789,0.126,0,"0","MRPL27"
0,1.57609343181883,0.804,0.141,0,"0","PDCD10"
0,2.29601145581397,0.747,0.084,0,"0","ZWILCH"
0,1.37879639245534,0.825,0.162,0,"0","IPO5"
0,1.58117540431826,0.913,0.251,0,"0","ARL6IP5"
0,1.46495750588459,0.806,0.144,0,"0","CHORDC1"
0,2.17885893760367,0.791,0.129,0,"0","CKS1B"
0,1.35488061206198,0.811,0.149,0,"0","COX20"
0,1.22226938087829,0.802,0.14,0,"0","EIF6"
0,1.47569966558119,0.827,0.165,0,"0","MYBL2"
0,1.50708088765979,0.833,0.171,0,"0","VBP1"
0,1.11005537498443,0.87,0.209,0,"0","DHX15"
0,1.19780701468093,0.883,0.222,0,"0","DNMT1"
0,2.03344620904445,0.785,0.124,0,"0","NCAPG"
0,1.20956769047251,0.903,0.242,0,"0","RP5-882O7.1"
0,1.71374043381908,0.925,0.264,0,"0","UBE2N"
0,1.50495466160204,0.82,0.159,0,"0","C7orf73"
0,1.32033749508622,0.871,0.211,0,"0","FKBP3"
0,1.56146787044099,0.807,0.147,0,"0","MRPS6"
0,1.30890009750491,0.797,0.137,0,"0","SF3B3"
0,1.20908648169587,0.815,0.155,0,"0","HDAC2"
0,1.26766801847965,0.832,0.172,0,"0","MDH2"
0,1.62701691310525,0.847,0.187,0,"0","MRPL3"
0,1.64188823407945,0.817,0.157,0,"0","OLA1"
0,1.29907091659051,0.852,0.192,0,"0","RPA2"
0,1.50885973889831,0.847,0.187,0,"0","SRI"
0,1.75929945275588,0.927,0.268,0,"0","CACYBP"
0,2.62104289411789,0.732,0.073,0,"0","DHCR24"
0,1.33171785986017,0.828,0.169,0,"0","ELAVL1"
0,1.70716930996214,0.827,0.168,0,"0","LSM2"
0,1.86630149367719,0.766,0.108,0,"0","HK1"
0,1.46543185392098,0.792,0.134,0,"0","NAA15"
0,1.67653918751573,0.78,0.122,0,"0","POLD2"
0,1.91834341109482,0.913,0.255,0,"0","SNRPE"
0,1.11419995237473,0.835,0.177,0,"0","ARL8B"
0,1.34710791938914,0.947,0.289,0,"0","HADHA"
0,1.53968144676964,0.907,0.25,0,"0","PDCD5"
0,1.71733019249709,0.769,0.112,0,"0","RPF2"
0,1.30451788212952,0.845,0.188,0,"0","SDHB"
0,1.08940734897048,0.883,0.227,0,"0","EIF3B"
0,1.56047201890469,0.798,0.142,0,"0","GLRX5"
0,1.81815060800166,0.773,0.117,0,"0","PGD"
0,1.3504177638137,0.865,0.209,0,"0","SRSF1"
0,1.78663956889103,0.826,0.17,0,"0","NUSAP1"
0,1.20012732517448,0.808,0.153,0,"0","FLNA"
0,1.64347815150876,0.948,0.293,0,"0","MDH1"
0,1.38031505576215,0.923,0.268,0,"0","MRPL20"
0,1.29018816771731,0.841,0.186,0,"0","THOC7"
0,1.04527756639578,0.858,0.204,0,"0","CYB5R3"
0,1.1408152829508,0.932,0.278,0,"0","DDB1"
0,1.29459574935093,0.799,0.145,0,"0","GTPBP4"
0,1.2525435130353,0.895,0.241,0,"0","RAB8A"
0,1.20515033106081,0.879,0.225,0,"0","RCC2"
0,2.36911929000506,0.723,0.069,0,"0","CENPM"
