"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
0,1.59708251924162,0.817,0.2,0,"MIR4435-1HG","0"
0,1.18817239630683,0.945,0.333,0,"ZFAS1","0"
0,1.32705699731878,0.685,0.103,0,"SNHG12","0"
0,0.759863398087612,0.6,0.1,0,"SNHG7","0"
0,0.386180193814391,0.578,0.121,0,"FGD5-AS1","0"
0,1.15913959313405,0.481,0.049,0,"SNHG15","0"
0,0.771158267502915,0.499,0.088,0,"CTC-503J8.6","0"
0,1.47359419219228,0.449,0.047,0,"LINC00116","0"
0,1.31410692682551,0.384,0.037,0,"RP11-145M9.4","0"
0,4.96801741595062,0.299,0.005,0,"RP11-701P16.5","0"
9.10346445602324e-298,2.8894824916808,0.273,0.011,2.09498027526463e-293,"AC017002.1","0"
7.74870332770783e-286,0.581451789012637,0.456,0.08,1.7832090968054e-281,"CTC-228N24.3","0"
1.01242574269528e-280,0.853947634345141,0.647,0.178,2.32989536166464e-276,"AC104699.1","0"
1.7582954136314e-264,0.964844099449268,0.356,0.048,4.04636523538993e-260,"MIR155HG","0"
5.85253731418323e-263,0.251254609756608,0.716,0.212,1.34684441211299e-258,"SNORA76","0"
2.08775827697655e-261,0.412443471274222,0.472,0.095,4.80455812280613e-257,"RP1-17K7.2","0"
6.7628238634016e-261,2.06437051816051,0.266,0.017,1.55632865568461e-256,"AC108488.3","0"
1.94464421770926e-259,0.490863215396955,0.834,0.294,4.47520973821432e-255,"LINC00152","0"
6.01004661903634e-254,1.18144356122783,0.305,0.032,1.38309202843883e-249,"LINC00665","0"
4.23349192849059e-242,0.530635280843241,0.351,0.052,9.74253497503539e-238,"RP11-304L19.5","0"
1.10241989851581e-239,0.377097229654318,0.397,0.072,2.53699891245444e-235,"LINC00341","0"
4.40936652690227e-220,1.51070910145028,0.26,0.026,1.01472751883602e-215,"RP11-295G20.2","0"
5.10150110115854e-220,0.34487831112626,0.452,0.105,1.17400844840961e-215,"CTC-444N24.11","0"
7.25959082322005e-219,1.76726529564492,0.248,0.022,1.67064963614763e-214,"VTRNA2-1","0"
3.76304074479905e-213,0.403124560516381,0.331,0.054,8.65988566600605e-209,"NNT-AS1","0"
1.62707975087847e-212,1.11271122955091,0.258,0.027,3.74439863069662e-208,"RP11-215G15.5","0"
8.56285752329388e-206,1.98513323690163,0.236,0.022,1.97057040183562e-201,"RP11-25K19.1","0"
2.27006520349722e-202,0.575262213805396,0.303,0.047,5.22410105280816e-198,"RP6-109B7.3","0"
1.6718429026755e-197,1.95105486507539,0.207,0.014,3.84741207192714e-193,"RP5-940J5.9","0"
6.6090472686713e-192,0.277934835403234,0.343,0.067,1.52094004793933e-187,"CTC-241F20.3","0"
5.41392013887311e-191,1.33052439347522,0.24,0.027,1.24590544155887e-186,"TMPO-AS1","0"
6.27715422288316e-191,0.523920714316893,0.312,0.055,1.4445615013121e-186,"WAC-AS1","0"
2.87151969082185e-182,1.46559096799981,0.224,0.024,6.60822826448831e-178,"UBL7-AS1","0"
2.89040878515551e-181,2.32938063058233,0.187,0.012,6.65169773727838e-177,"RP11-386G11.10","0"
6.59163795006064e-180,1.23603068306131,0.232,0.028,1.51693364144745e-175,"AP001046.5","0"
2.2758960830119e-173,1.21719006569467,0.23,0.029,5.23751965583529e-169,"RP11-545E17.3","0"
1.11902708507956e-170,1.64620481063955,0.19,0.016,2.57521703089359e-166,"RP11-425I13.3","0"
5.06151610690836e-169,0.941111220141609,0.217,0.025,1.16480670168282e-164,"RP11-620J15.3","0"
1.64772959435467e-157,0.752107664149954,0.199,0.022,3.7919201154884e-153,"TP53TG1","0"
2.87378779634251e-154,0.324624589241495,0.274,0.053,6.61344785572302e-150,"THAP9-AS1","0"
9.87373422895761e-148,0.586319288351904,0.234,0.039,2.27224245811002e-143,"PITPNA-AS1","0"
4.88271260924231e-146,2.68457840519489,0.137,0.005,1.12365865276493e-141,"RP11-126K1.6","0"
3.47794014508993e-144,1.32400033899116,0.192,0.024,8.00378365589546e-140,"RPPH1","0"
7.8521868013715e-140,1.77571939132427,0.151,0.011,1.80702374859962e-135,"CTC-459F4.3","0"
4.61893979783114e-138,1.8500014736645,0.148,0.011,1.06295661567488e-133,"IL10RB-AS1","0"
1.05452953498763e-135,2.3526421808257,0.13,0.006,2.42678881886703e-131,"RP11-500C11.3","0"
7.5443166058734e-133,0.4705243391114,0.235,0.046,1.73617358050965e-128,"SNORD3D","0"
2.35780135985552e-129,5.14306946366669,0.108,0.001,5.42600826943551e-125,"LINC00643","0"
2.91970186060969e-129,1.07781137480485,0.153,0.014,6.71910989182109e-125,"NOP14-AS1","0"
