"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage"
8.85571082929745e-304,1.46481479751444,0.452,0.075,2.03796473314622e-299,"CTC-444N24.11","prePB"
9.42905568918928e-299,7.15860914669452,0.251,0.001,2.16990858575313e-294,"AC017002.1","prePB"
1.43645521654887e-297,0.937922683291142,0.457,0.077,3.30571438984392e-293,"CTC-503J8.6","prePB"
3.11543617930596e-285,0.999328544888591,0.607,0.16,7.1695532794368e-281,"AC104699.1","prePB"
4.09028166622744e-269,0.665359865150317,0.418,0.07,9.41296519848921e-265,"CTC-228N24.3","prePB"
1.14433333098012e-265,1.57754441785207,0.286,0.02,2.63345429458455e-261,"LINC00665","prePB"
2.06044072776141e-262,1.11034804351205,0.331,0.038,4.74169224679734e-258,"RP11-145M9.4","prePB"
8.52440453075693e-250,0.553443778657269,0.779,0.28,1.96172121466309e-245,"LINC00152","prePB"
6.96182222581969e-240,0.471647165492726,0.431,0.086,1.60212414882789e-235,"RP1-17K7.2","prePB"
9.77284320110126e-222,2.1974663446801,0.234,0.015,2.24902440586943e-217,"AC108488.3","prePB"
1.736141314369e-220,0.370380198573891,0.362,0.064,3.99538200675739e-216,"LINC00341","prePB"
2.86886417222412e-208,1.4738874616905,0.237,0.019,6.60211711953937e-204,"RP11-215G15.5","prePB"
5.30766980221229e-204,0.558622286815828,0.312,0.049,1.22145405158311e-199,"RP11-304L19.5","prePB"
7.01082111289294e-191,2.22746641268368,0.22,0.019,1.61340026271005e-186,"VTRNA2-1","prePB"
9.2362415314542e-187,0.550803545094235,0.297,0.05,2.12553626363356e-182,"NNT-AS1","prePB"
2.16242801258712e-185,0.805628591348745,0.287,0.046,4.97639558536673e-181,"WAC-AS1","prePB"
1.15149708015643e-181,1.40168111278213,0.228,0.024,2.64994023056399e-177,"RP11-295G20.2","prePB"
2.60183987701436e-175,0.617840079397123,0.272,0.044,5.98761410897315e-171,"RP6-109B7.3","prePB"
2.90159655961529e-175,0.410101187664552,0.312,0.061,6.67744416264266e-171,"CTC-241F20.3","prePB"
1.29360881223824e-172,2.06800813623667,0.184,0.011,2.97698195960386e-168,"RP5-940J5.9","prePB"
4.10678212558942e-164,1.72841661277351,0.205,0.021,9.45093770561893e-160,"RP11-25K19.1","prePB"
1.01255742986007e-158,2.30374880030633,0.166,0.009,2.33019841333698e-154,"RP11-386G11.10","prePB"
1.82517518369626e-150,1.0798137186867,0.205,0.026,4.20027565024021e-146,"AP001046.5","prePB"
5.9584209788788e-149,1.02108570115571,0.182,0.017,1.37121141986938e-144,"TP53TG1","prePB"
7.68242100987502e-149,0.316957731565222,0.295,0.065,1.76795554700254e-144,"RP11-568N6.1","prePB"
1.43185364018982e-148,1.14165408421258,0.208,0.027,3.29512478216884e-144,"TMPO-AS1","prePB"
8.07403796328934e-148,1.32618037736489,0.196,0.023,1.85807835649177e-143,"UBL7-AS1","prePB"
5.41972137728976e-147,1.23002116623605,0.204,0.027,1.24724048055569e-142,"RP11-545E17.3","prePB"
8.48866735251008e-143,0.302010777683746,0.251,0.047,1.95349701783315e-138,"THAP9-AS1","prePB"
5.88235665976675e-140,1.06418015401845,0.191,0.024,1.35370673811212e-135,"RP11-620J15.3","prePB"
