"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.10392816811714e-72,2.5838524603218,0.463,0.276,9.44436989328799e-68,"2","TNFSF10"
3.28002210395818e-205,2.55555661278202,0.58,0.195,7.54831486783897e-201,"2","CD38"
1.39310393048185e-279,2.54866529056697,0.736,0.273,3.20595007521787e-275,"2","CECR1"
8.08741555033033e-86,2.50115339841338,0.427,0.208,1.86115694059752e-81,"2","HERC5"
1.27815068753796e-234,2.49805842143032,0.788,0.471,2.9414081772311e-230,"2","STAT1"
9.63569889338778e-135,2.49575672579083,0.413,0.132,2.21746338633533e-130,"2","EPSTI1"
2.13632334406748e-95,2.42699270003474,0.446,0.205,4.9163209117025e-91,"2","PDK1"
1.14036351084011e-125,2.41018067972526,0.481,0.196,2.62431854749635e-121,"2","OAS1"
1.52520641175039e-180,5.43838003445615,0.326,0.059,3.50995751536118e-176,"3","REL"
5.98163775009794e-191,5.21202847628432,0.269,0.033,1.37655429543004e-186,"3","CTA-250D10.23"
0,4.93548058052113,0.636,0.141,0,"3","TSC22D3"
2.33592825924738e-128,4.85986841669913,0.283,0.062,5.375671703006e-124,"3","CD83"
8.03702883588551e-115,4.48848647576284,0.386,0.14,1.84956144600233e-110,"3","CD69"
1.13769983027034e-152,4.35407802775774,0.355,0.087,2.61818861940114e-148,"3","DUSP1"
2.10545434580807e-101,4.26986857488216,0.309,0.095,4.84528208600812e-97,"3","RGS2"
3.45292219114241e-29,3.9234421678331,0.256,0.15,7.94620983847604e-25,"3","SNX9"
7.01017886130185e-100,3.64014652688409,0.461,0.227,1.61325246135139e-95,"3","FOXP1"
2.26093659549517e-250,3.50195765760957,0.786,0.472,5.20309338721302e-246,"3","KLF6"
7.4860679452735e-71,3.3287394880689,0.309,0.122,1.72276881624579e-66,"3","SPOCK2"
1.67470004075594e-287,3.2781234526772,0.684,0.214,3.85398720379165e-283,"3","MS4A1"
7.99019252386273e-19,3.24583221905965,0.279,0.205,1.83878300551653e-14,"3","CHPT1"
1.73485560995037e-241,3.18563061255369,0.814,0.577,3.99242321517878e-237,"3","EZR"
2.11658193436288e-84,3.18433842853497,0.479,0.275,4.8708900055493e-80,"3","KLF2"
7.03828244402072e-39,3.17738867533579,0.358,0.238,1.61971993884249e-34,"3","HLA-DMB"
2.85365200356552e-252,3.15283894681617,0.807,0.524,6.56710935580534e-248,"3","CD37"
2.19523440434639e-95,3.10156426433822,0.536,0.326,5.05189293472235e-91,"3","ZFP36L1"
7.7477170616619e-125,3.05455674354098,0.436,0.16,1.78298212740025e-120,"3","LTB"
1.42259401002998e-296,2.98124716824972,0.897,0.75,3.27381559528198e-292,"3","JUND"
6.0840666501925e-20,2.96819326016802,0.268,0.185,1.4001262582088e-15,"3","WHAMM"
3.82632639383731e-70,2.93154898873109,0.519,0.37,8.8055249301378e-66,"3","PPP1R15A"
2.35906961438426e-33,2.89056157566098,0.325,0.207,5.4289269035825e-29,"3","NBPF10"
2.76905222663616e-113,2.85448102543793,0.637,0.461,6.3724198891578e-109,"3","BTG1"
1.27177875342715e-20,2.83660007473685,0.326,0.255,2.92674444526191e-16,"3","RBM38"
4.33496411423283e-215,2.77050012264999,0.79,0.553,9.97605291608402e-211,"3","HLA-DPB1"
5.22308499672958e-19,2.69637227208192,0.277,0.196,1.20198855029738e-14,"3","MAP3K1"
0.00146237034775167,2.60981706181522,0.245,0.251,1,"3","HLA-DRB5"
9.77066937555353e-65,2.55042665081113,0.544,0.414,2.24852414339613e-60,"3","NFKBIA"
1.25290650065603e-81,2.54373101209521,0.626,0.523,2.88331372995972e-77,"3","JUNB"
2.93998152181193e-45,3.41937176878937,0.31,0.135,6.76577947614578e-41,"4","IGHA2"
4.55572876550186e-60,3.01190210222186,0.824,0.773,1.04840986080494e-55,"4","IGHM"
4.77682168717936e-101,2.99452251661895,0.758,0.565,1.09928997487059e-96,"4","IGHA1"
9.85553559949609e-42,2.84077880891559,0.252,0.105,2.26805440751204e-37,"4","IGHJ4"
0,2.74955560414624,0.998,0.84,0,"4","IGJ"
0,2.71640220069063,0.955,0.261,0,"4","ISG15"
1.36838110275332e-212,2.57651565188578,0.511,0.11,3.14905543176622e-208,"4","IFI44"
1.20787252773982e-243,2.50476607342873,0.51,0.091,2.77967704808765e-239,"4","IFIT1"
0,2.46537921093722,0.652,0.114,0,"4","IFI44L"
8.30179982173469e-167,2.40621208469401,0.475,0.12,1.9104931929758e-162,"4","IFITM1"
8.56375148812516e-50,2.33413117180413,0.251,0.089,1.97077612996224e-45,"4","HELZ2"
1.29847890104411e-202,2.2254905427647,0.452,0.084,2.98818949497281e-198,"4","IFIT3"
6.20340131996255e-218,2.17235998097452,0.802,0.341,1.42758874576298e-213,"4","IRF7"
1.0487259951499e-95,2.15721006020664,0.413,0.143,2.41343313263846e-91,"4","EPSTI1"
0,2.1385927835913,0.988,0.548,0,"4","IFI6"
0,2.1289856405157,0.881,0.203,0,"4","XAF1"
1.54921746221657e-103,2.12214142941834,0.456,0.165,3.56521414579898e-99,"4","SLFN5"
0,2.09997936816281,0.897,0.248,0,"4","MX1"
4.47851941464347e-199,2.01209578898593,0.488,0.098,1.0306416728919e-194,"4","RSAD2"
3.14806352814439e-78,1.96860164153177,0.463,0.209,7.24463859731868e-74,"4","OAS1"
2.54823617766017e-09,1.95009635124468,0.463,0.416,5.86425591564936e-05,"4","IGLC3"
3.92805475199251e-252,1.94999663331001,0.957,0.755,9.03963240076035e-248,"4","SSR4"
2.68363256063917e-69,1.94664092252087,0.446,0.214,6.17584361179893e-65,"4","HERC5"
3.22645581360693e-41,1.93704416926819,0.439,0.267,7.42504276385362e-37,"4","DUSP5"
2.2200483257954e-76,1.92111010026658,0.52,0.271,5.10899721215296e-72,"4","STAT2"
6.30242405856761e-169,1.913054242763,0.796,0.439,1.45037684859816e-164,"4","SAMD9L"
1.03271291022434e-74,1.91123592376669,0.499,0.254,2.37658222029928e-70,"4","IFI35"
1.36884164867877e-18,1.88117621840615,0.281,0.181,3.15011528610446e-14,"4","PCMTD1"
8.4979772299406e-89,1.87911868459477,0.584,0.317,1.95563949992623e-84,"4","DNAJB9"
2.80428002881403e-33,1.83866460290598,0.437,0.298,6.45348963030973e-29,"4","MIAT"
0,6.10508403609708,0.486,0.016,0,"5","ADTRP"
4.49470254425416e-121,4.32761596484412,0.329,0.041,1.03436589650921e-116,"5","SKAP1"
2.64481133681988e-119,3.72781719062016,0.32,0.039,6.08650432942359e-115,"5","IGFBP4"
5.82797855238906e-70,3.65471078786117,0.283,0.052,1.34119270426129e-65,"5","CNTNAP1"
3.97476374580092e-73,3.5466783095668,0.311,0.06,9.14712380821166e-69,"5","GBP4"
9.0391299534599e-76,3.44257650594206,0.366,0.08,2.08017497618973e-71,"5","ALOX5AP"
1.53631771966657e-102,3.22184057152767,0.729,0.318,3.53552796826867e-98,"5","IL2RA"
3.38636680032363e-146,3.14924830397106,0.28,0.022,7.79304591758476e-142,"5","FCER2"
7.29848876148377e-77,3.14409933187545,0.274,0.044,1.67960121868026e-72,"5","CD84"
2.77280699534303e-68,3.13267277017683,0.431,0.121,6.38106073838292e-64,"5","MYL9"
1.32512975697546e-93,3.1201931421943,0.609,0.207,3.04952110972763e-89,"5","SNX10"
7.95011190042543e-68,3.07270656809376,0.394,0.102,1.8295592516449e-63,"5","TOX2"
4.56841729878763e-165,3.05622487919586,0.634,0.119,1.05132987297e-160,"5","CCR7"
8.92571294597208e-62,2.97576349110681,0.286,0.058,2.05407432025656e-57,"5","TTN"
1.30449222344176e-94,2.96919723686186,0.505,0.128,3.00202795380652e-90,"5","MIR155HG"
