"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","transition","direction","key","padj","significant","log2_fold_enrichment"
"MA0823.1",565,731,2.42001113633443,1.8275,1.3242195000462,1.34828304216867e-27,"HEY1",4.43092136325035e-27,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",4.43092136325035e-27,FALSE,0.405143369755856
"MA0786.1",720,962,3.08390799674476,2.405,1.2822902273367,2.33069080288909e-27,"POU3F1",7.62585674980377e-27,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",7.62585674980377e-27,FALSE,0.358723956589585
"MA0518.1",1554,2254,6.65610142630745,5.635,1.18120699668278,1.11296231167097e-26,"Stat4",3.62563268343468e-26,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",3.62563268343468e-26,FALSE,0.240263028546522
"MA0059.1",681,910,2.91686298025442,2.275,1.28213757373821,6.43332566086637e-26,"MAX::MYC",2.08663519261144e-25,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",2.08663519261144e-25,FALSE,0.35855219708992
"MA0597.1",1266,1812,5.42253822760954,4.53,1.19702830631557,2.93253974431788e-25,"THAP1",9.4704530271045e-25,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",9.4704530271045e-25,FALSE,0.259458473550067
"MA1525.1",850,1173,3.64072471837924,2.9325,1.24150885537229,1.74841998166862e-24,"NFATC4",5.62207459622753e-24,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",5.62207459622753e-24,FALSE,0.312095713983777
"MA1560.1",429,548,1.83749518139376,1.37,1.34123735868157,3.12315280174414e-23,"SOHLH2",9.99945060129239e-23,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",9.99945060129239e-23,FALSE,0.423565649121406
"MA0785.1",704,958,3.01537670792821,2.395,1.25902994067984,4.3279509680881e-23,"POU2F1",1.37976556504005e-22,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",1.37976556504005e-22,FALSE,0.332313737716875
"MA1542.1",363,455,1.55480361502549,1.1375,1.36686032090153,1.69743914543673e-22,"OSR1",5.38846639359914e-22,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",5.38846639359914e-22,FALSE,0.450866877328215
"MA0080.5",4019,6295,17.2142031096072,15.7375,1.09383339854534,2.53112563620336e-22,"SPI1",8.00093103647334e-22,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",8.00093103647334e-22,FALSE,0.129394337324611
"MA0137.3",1322,1922,5.66239773846747,4.805,1.17843865524817,3.43931044535242e-22,"STAT1",1.08258463807296e-21,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",1.08258463807296e-21,FALSE,0.236877883914174
"MA0089.2",1201,1732,5.14412986679231,4.33,1.1880207544555,3.84808144449235e-22,"NFE2L1",1.20616334352575e-21,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",1.20616334352575e-21,FALSE,0.248561254284899
"MA0526.3",1040,1483,4.45453377307577,3.7075,1.20149258882691,9.86945244378214e-22,"USF2",3.08059059542321e-21,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",3.08059059542321e-21,FALSE,0.264828950263618
"MA1548.1",1031,1471,4.41598492311646,3.6775,1.20081167181957,1.98640800283651e-21,"PLAGL2",6.17441820881683e-21,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",6.17441820881683e-21,FALSE,0.264011106483955
"MA1546.1",229,272,0.980854071186876,0.68,1.44243245762776,3.09355789796424e-20,"PAX3(var.2)",9.57590950988102e-20,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",9.57590950988102e-20,FALSE,0.52850476596625
"MA0614.1",627,857,2.68556988049857,2.1425,1.25347485670878,5.86866648427469e-20,"Foxj2",1.8091013211855e-19,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",1.8091013211855e-19,FALSE,0.325934208583536
"MA0841.1",792,1115,3.39229879641924,2.7875,1.21696817808762,4.54081369714555e-19,"NFE2",1.39401111854756e-18,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",1.39401111854756e-18,FALSE,0.283292629692368
"MA0058.3",688,957,2.94684541911166,2.3925,1.23170132460258,1.08370096690766e-18,"MAX",3.31328246439802e-18,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",3.31328246439802e-18,FALSE,0.30065363045621
"MA0778.1",697,980,2.98539426907097,2.45,1.21852827309019,3.83385170107671e-17,"NFKB2",1.16736872204213e-16,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",1.16736872204213e-16,FALSE,0.285140909768493
"MA0906.1",204,247,0.873773932411016,0.6175,1.41501851402594,2.63373477490833e-16,"HOXC12",7.98685423610412e-16,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",7.98685423610412e-16,FALSE,0.500821948883535
"MA0708.1",294,376,1.25926243200411,0.94,1.33964088511076,2.98356305459787e-16,"MSX2",8.9747501561694e-16,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",8.9747501561694e-16,FALSE,0.421847389022978
"MA0709.1",294,376,1.25926243200411,0.94,1.33964088511076,2.98356305459787e-16,"Msx3",8.9747501561694e-16,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",8.9747501561694e-16,FALSE,0.421847389022978
"MA0043.3",373,494,1.59763567053583,1.235,1.29363212189136,7.70179911714389e-16,"HLF",2.30744664312825e-15,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",2.30744664312825e-15,FALSE,0.371428522836294
"MA0863.1",654,922,2.80121643037649,2.305,1.2152782778206,9.04186412442182e-16,"MTF1",2.69809225472747e-15,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",2.69809225472747e-15,FALSE,0.281287891137638
