"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0744752714045719,0.434469072806578,0.365,0.337,1,"RALGPS2"
0.370944876519436,0.430946355872272,0.341,0.34,1,"RPL18AP3"
0.000251279163360452,0.42799030103276,0.635,0.612,1,"BST2"
7.58667780318108e-05,0.42076104074986,0.691,0.647,1,"OAS2"
0.0218742803578758,0.414207848410617,0.39,0.353,1,"PARP9"
0.000731573921310835,-0.413796841201372,0.233,0.303,1,"ASXL1"
0.0111351644260964,0.413504516532943,0.424,0.381,1,"GPR183"
0.126609146247051,0.410630331395142,0.303,0.276,1,"CHCHD10"
0.356640562227095,0.408303352917423,0.319,0.318,1,"GLIPR1"
0.776136421234876,0.40769706708434,0.434,0.459,1,"RPL7"
0.000165375870262212,0.405017719640218,0.681,0.65,1,"EIF4G2"
0.0342479669382453,0.404367543594031,0.301,0.265,1,"APOL2"
0.1673866573151,0.403567872850342,0.25,0.23,1,"FUBP1"
0.00677672234722929,0.40083692490014,0.684,0.665,1,"SNORD3A"
9.16224149481401e-05,-0.397222033637529,0.395,0.479,1,"CRELD2"
0.0251727752735179,0.395256639070251,0.457,0.44,1,"SFPQ"
0.612913758981518,0.394418979429101,0.258,0.256,1,"CLPTM1"
0.0116851010483441,0.39305360505207,0.42,0.38,1,"SAMD9"
0.0348030544696284,0.390802417848526,0.368,0.329,1,"MYCBP2"
0.069366652755192,0.390798329864868,0.26,0.23,1,"KARS"
0.424854300675138,0.387394090144581,0.291,0.284,1,"PSMA4"
0.149171764762474,0.387027960052699,0.419,0.415,1,"PRRC2C"
0.035784621737121,0.385095868844604,0.521,0.5,1,"HLA-F"
0.0375837616267127,0.383543776664943,0.336,0.301,1,"CASP10"
0.0853101787191614,0.383405308020915,0.446,0.425,1,"PDK1"
0.496065451630579,0.381803772997359,0.307,0.31,1,"NDUFB3"
0.198987525045334,0.380564884471559,0.388,0.38,1,"CCDC88A"
0.583284341860101,0.380185462969337,0.436,0.452,1,"IFIT3"
0.37344433713378,0.377387122611509,0.33,0.327,1,"CYCS"
0.00284190887012224,0.376681560345479,0.648,0.625,1,"JUND"
0.399594016907981,0.375391620245399,0.284,0.285,1,"BUB3"
0.000495518891927403,0.3751918694103,0.633,0.592,1,"PTP4A2"
0.0726943751564063,0.374257937516723,0.273,0.246,1,"RP11-425L10.1"
0.336027006039799,0.372853395438135,0.279,0.267,1,"NME1"
0.945409464870441,0.372183731588788,0.343,0.376,1,"CLTC"
0.472451191555455,0.372075688632968,0.369,0.376,1,"FGFR1OP2"
0.00243046008879907,0.371449670764358,0.589,0.555,1,"APOL6"
0.0670473558463147,0.371441887030327,0.563,0.565,1,"PSMB1"
0.00112523951805352,-0.37104333412583,0.221,0.286,1,"TXLNG2P"
0.0935268743172865,0.36688309235552,0.499,0.484,1,"MAN1A1"
0.121607616189758,0.366661927309036,0.26,0.236,1,"ARHGAP30"
0.273896881484344,0.366508575034887,0.395,0.392,1,"GTF3A"
0.0163127665256548,0.366076997280705,0.37,0.333,1,"HSH2D"
0.677616302958861,0.364470842295869,0.266,0.286,1,"C14orf2"
0.582487085903287,0.364298455566435,0.283,0.284,1,"ZFP36L2"
0.000146699201662195,-0.362946160167514,0.175,0.253,1,"CALCOCO1"
0.672237686357396,0.362334488549246,0.302,0.312,1,"MOB1A"
0.262093976874836,0.362152130595948,0.308,0.301,1,"RSL1D1"
0.855293041783083,0.362135479308518,0.301,0.316,1,"KHSRP"
0.299271901190196,0.362101753651546,0.505,0.527,1,"RHOA"
0.017705875200989,0.362066475836722,0.335,0.285,1,"PNRC1"
0.0618499846233576,0.361624879570746,0.397,0.375,1,"RPL6P27"
0.275711940447158,0.361365756217654,0.355,0.353,1,"SRSF3"
0.00642855779516644,0.360547154274972,0.586,0.565,1,"SP110"
0.00996417889555764,0.360505524367003,0.529,0.499,1,"EIF2S2"
0.0092727209108412,0.360466071010418,0.273,0.225,1,"C10orf54"
0.226758304550588,0.360189264880512,0.361,0.354,1,"RPL3P4"
0.023937078277065,0.3600719738986,0.497,0.467,1,"TAP2"
0.104720189613943,0.359456282393764,0.409,0.387,1,"SRSF2"
0.279257266799992,0.35843077433177,0.331,0.326,1,"PNPLA2"
0.136440745492881,0.357753588484211,0.374,0.362,1,"UBE2L3"
0.333154148114364,0.355872761407891,0.338,0.333,1,"IRF2BP2"
0.0158644768342059,0.355663227309056,0.493,0.472,1,"UQCRH"
0.0210001437245936,0.351394169500685,0.516,0.493,1,"HNRNPD"
0.0907143465346492,0.350973384688711,0.387,0.362,1,"SAP18"
0.0874164153964713,0.35070565726441,0.401,0.378,1,"PTPN1"
0.122775345601925,0.350055863808178,0.285,0.26,1,"MKNK2"
0.00076847274176258,0.348521240797967,0.755,0.722,1,"TXNIP"
8.9260282800542e-05,-0.345587195850464,0.191,0.271,1,"ARL1"
0.0797062776267375,0.345063415029221,0.45,0.428,1,"CD44"
0.0692314200755718,0.344302925167325,0.314,0.285,1,"TPR"
0.156516518838749,0.344298327227836,0.328,0.302,1,"ARID3A"
0.00571284682660848,0.342349387663553,0.564,0.529,1,"PARP14"
